Step,A* + UNet + IL,Weighted A* + UNet + IL,A* + Unet,Weighted A* + Unet,A* + CNN + IL,A* + CNN,Weighted A* + CNN +IL,Weighted A* + CNN
201,51.28167725,67.26078033,92.89854431,85.83274841,68.32720947,82.97045898,62.72475433,75.76566315
202,47.08499527,66.44387817,96.79308319,92.83607483,67.19953918,80.81583405,67.03715515,92.36828613
203,49.90256119,69.89031982,95.74213409,101.8334961,64.37919617,83.86170959,75.66821289,87.01293182
204,48.22694397,64.80477142,89.89813995,98.96424866,66.78269958,76.03865051,75.1135025,91.7244339
206,67.89932251,77.14581299,77.65952301,76.52694702,74.22180939,75.24947357,73.57572174,77.71888733
207,70.97257996,76.16378784,78.74200439,78.38195801,75.30807495,77.8530426,73.04945374,77.75396729
208,65.27960968,73.61118317,78.56518555,78.59548187,71.65825653,78.95317078,74.60795593,77.73795319
209,70.08236694,73.38166046,78.66864014,76.60066986,74.78587341,78.28974152,77.83615112,80.1922226
210,67.10458374,78.15590668,77.89997101,76.29264832,75.55712891,76.88079071,78.14279938,79.60607147
212,62.95361328,73.69949341,73.06416321,78.20381927,66.07138824,77.57373047,77.5453949,76.19789886
213,60.95292282,73.52105713,77.63095093,77.6825943,72.38926697,75.13420105,80.59246063,77.84859467
214,63.96033478,73.30767822,74.43530273,78.29146576,70.63625336,73.81880951,78.1206665,76.89727783
215,58.26349258,72.7016449,75.63214111,77.09139252,65.63486481,77.51446533,77.52483368,73.60678101
216,65.16702271,71.37783051,79.69618225,71.56502533,70.77906036,75.18876648,76.49935913,74.73829651
218,61.84336472,71.23896027,74.81407166,75.65083313,72.18840027,77.27370453,72.5249939,77.8264389
219,63.54400635,72.10978699,75.22531891,76.66481781,68.83656311,79.88505554,74.9916687,77.21750641
220,64.19987488,74.79432678,76.91893768,77.24717712,70.43852234,75.08906555,72.60140228,76.60678864
221,65.19145203,72.0451355,76.32398987,77.0556488,71.28907013,76.06235504,75.60941315,76.07555389
222,67.21631622,71.16630554,76.55478668,75.71362305,72.62815857,77.79844666,77.77921295,76.66331482
224,69.03424072,72.0793457,74.34606934,74.78651428,72.84729767,75.34868622,74.50636292,73.35407257
225,69.44377136,70.63993073,74.16272736,72.35256195,73.33050537,74.64978027,74.12592316,75.24388885
226,65.44499207,72.39756775,76.31307983,72.79034424,72.18473053,75.06516266,74.53206635,75.22991943
227,66.33691406,72.98334503,75.40914154,75.11444092,72.71598816,74.94532776,70.79166412,73.8662796
228,66.66566467,69.75643921,74.1342392,75.14767456,71.00009155,73.93482971,72.3984375,77.22132874
230,46.37099457,57.99842072,71.70264435,72.96264648,57.38874817,64.77158356,67.04102325,73.32366943
231,50.92770004,58.05677795,68.96707153,76.2385025,57.26062775,71.09284973,66.52857208,72.75580597
232,49.28693771,58.49868011,76.3447876,74.73027039,53.44223785,70.61397552,64.64772034,73.98254395
233,49.59246445,60.52505493,68.48867798,81.09475708,62.72332001,73.23002625,65.87208557,69.91295624
234,48.61039734,58.95915222,79.88008881,79.61515808,56.38109207,73.1291275,72.45093536,71.06201935
236,59.77516937,66.12176514,76.22164917,75.28761292,70.84088135,75.82894897,69.90917206,74.16552734
237,58.37100983,66.49922943,76.06833649,74.47946167,63.80498886,69.21625519,69.43738556,71.05618286
238,53.48165131,64.96470642,76.52235413,77.05728912,63.56848907,75.65766907,72.70661926,73.39935303
239,59.35228348,70.81137848,74.0763092,76.94271088,72.90022278,74.18849945,71.30903625,77.74607849
240,60.34716415,70.0758667,77.01695251,75.8531723,63.13650513,70.23377991,70.57176208,70.15208435
242,67.39633179,66.38896942,67.96066284,67.5065918,65.57936859,69.32839203,66.84238434,65.44151306
243,68.4083252,64.7307663,70.47945404,65.98301697,67.70852661,68.30884552,68.12983704,66.28821564
244,67.83742523,66.72527313,71.29595947,69.42537689,65.49217224,69.2964325,66.89956665,67.51854706
245,68.07429504,65.82178497,69.79270172,68.088974,67.08374023,69.99906921,64.75030518,66.84532166
246,69.08625031,66.56720734,72.7589035,67.37906647,65.7949295,68.16967773,68.41863251,66.1235733
250,45.6591568,67.67639923,80.99841309,85.54560852,66.45198059,80.57172394,66.72546387,86.15988159
251,48.00021744,68.72281647,83.02085114,90.61238098,63.9332962,81.21339417,76.53993225,86.15857697
252,44.50294495,66.50510406,90.72214508,95.23062897,62.98109818,74.31043243,69.08389282,83.57085419
253,45.83895874,68.54283905,96.73269653,92.40694427,66.12704468,78.53819275,70.60375214,86.85592651
254,41.3549881,65.85881042,89.57517242,95.52420807,66.79170227,76.47103119,70.7964325,84.05899811
256,68.78643799,73.59625244,82.07982635,78.50372314,76.46871185,77.74050903,75.67085266,76.73652649
257,69.85087585,75.36965942,76.56222534,78.32000732,73.00611877,77.21192169,73.51623535,75.99060059
258,70.1488266,73.51004028,80.67414856,75.54518127,78.96564484,79.07478333,74.14477539,78.50273895
259,68.45556641,74.97889709,78.50157166,78.15323639,73.8420105,78.82193756,75.14565277,76.61697388
260,70.77028656,74.63666534,81.22927094,76.61904144,74.12593079,80.25727081,78.46707916,79.58937836
262,63.17873764,73.19789886,76.41449738,77.18609619,71.3014679,75.40824127,77.9126358,75.04877472
263,64.5212326,74.81308746,76.09069824,76.42202759,68.50759125,75.87308502,75.83261871,73.53310394
264,61.91485214,77.51641083,74.3600235,75.64946747,68.08441162,77.04501343,76.17785645,77.73425293
265,67.58331299,74.32686615,77.2935791,77.11440277,69.56373596,75.77894592,76.32842255,78.44125366
266,55.12804794,71.44723511,78.30438232,72.64707184,66.18955994,76.10837555,75.78678131,73.53515625
268,61.01243591,68.85044098,74.84900665,78.92436218,71.17903137,75.56373596,71.54840088,76.92613983
269,68.42411041,70.27024841,78.76502991,76.57263184,70.46780396,73.79321289,75.09539032,77.46890259
270,64.88818359,73.97121429,78.00106812,78.29263306,67.82601929,74.71724701,73.29985046,74.42527008
271,62.40705109,73.22822571,77.2913208,79.98472595,70.78340912,79.11167908,78.55960083,76.13846588
272,59.44941711,72.98982239,78.34216309,78.85540009,72.24525452,78.95563507,77.38401031,77.85476685
274,63.75721741,70.75095367,75.86725616,73.90945435,71.12300873,74.82507324,71.74770355,74.11591339
275,69.3423996,72.49990845,75.47226715,71.92533875,72.68110657,76.03105927,72.33795166,74.46559143
276,65.64889526,71.57237244,76.25360107,75.64185333,69.28543091,74.86058807,73.2314682,76.04807281
277,64.64079285,71.50764465,74.26769257,72.41054535,69.96469116,73.95046234,74.17417145,72.66490173
278,67.19593048,70.51854706,73.86671448,72.55121613,72.30682373,74.02468872,73.18806458,75.49372864
280,43.82798004,59.3346405,73.8846817,78.96790314,55.33826065,64.7612915,67.71987152,70.05645752
281,47.18685913,59.08153152,76.55883026,76.99017334,52.16664886,67.3303833,66.35730743,70.43086243
282,40.2943573,64.39555359,77.0287323,80.67881012,53.29857635,72.17695618,63.64723587,72.68706512
283,48.94367218,55.77178955,80.94628143,80.61774445,59.97477722,69.65740967,62.52376938,76.18470001
